review_id,username,review_text,score_text,res_id
0,Phúc Lộc Võ,"Mình ngày hôm qua có mua dùng thử bánh canh cua 320, quán nằm khá gần nhà mình, chỉ đi bộ ra là tới nên mình mua về nhà ăn luôn cho tiện. Tô bánh canh cua ở đây cực to, bánh và thịt nhiều đến mức đầy tô, chưa kể gạch và thịt cua rất nhiều, ăn là no bụng. Ngoài ra còn có trứng cút và chả, nước thì ngọt và thơm, ăn rất tròn vị. Chỉ với giá từ 35-40k, tô bánh canh phải nói là cực kỳ chất lượng so với giá tiền phải trả, chắc chắn mình sẽ quay lại.",9.4,0
1,Be Map Map,"Tô đầy đủ tôm thịt chả giá 40k. Tôm tươi, chả cua chất lượng, thịt chắc là phần bắp.

Cọng bánh canh còn cứng, trụng lâu hơn chắc ổn hơn. Nước lèo hơi sánh, chắc nhiều bột năng

Có điểm m k thik là bánh quẩy cũ, hôi dầu",6.8,0
2,Ettethanh,"để một đứa bay từ Hà Nội vào Sg & lặn lội từ quận 1,quận 4 sang chỉ để ăn bánh canh cua là các bạn đủ biết chất lượng như nào rồi..không gian cũng vừa phải nhưng mình cảm giác rất sạch sẽ,nhân viên phục vụ nhanh nhẹn..sợi bánh canh dẻo ngon,thịt mềm,tôm chắc thịt,chả cua ngọt..thêm nấm với trứng cút & thịt cua chắc nịch nữa...bao ngon các bạn ạ...thật sự rất ngon & ước Hn cũng có bánh canh ngon như thế này í",8.4,0
3,Mỹ Hồng,"Theo mình thì mọi người nên ghé thử bánh canh tại quán ngay đi . Ở đây mọi thứ đều chất lượng , không gian thoáng mát , đồ ăn ngon và vừa miệng , chủ quán cả nhân viên nhiệt tình , giá cả lại rất vừa phải . Đến ngay , thử ngay mọi người nha .",10,0
4,Ngoc Anh,"Một tô ở đây ăn như cơm Thạch Sanh vậy, đồ ăn nhiều quá ăn hoài hổng hết haha. Quán rất sạch đẹp và thoáng mát, dễ thấy, bảng hiệu sáng sủa bắt mắt, chung mặt bằng với quán cf nên đầy đủ nước để uống kèm. 

Trước đây quán ở địa chỉ 320 Võ Văn Tần bán chung với 1 người nữa, nhưng sau khi bị lấy lại mặt bằng thì người kia để bảng chuyển qua bên đối diện đường và rất dở, giá lại rất mắc, tận 70k 1 tô. Trong khi bên đây vì lí do tế nhị nên không để bảng thông báo chuyển địa điểm được nên nhiều khách quen không biết chỗ mới, vị vẫn ngon như xưa mà giá chỉ từ 35k- 50k 1 tô bự chảng !! Bánh canh cua ăn kèm bột chiên (mình không biết nó gọi là gì như hình minh họa quán), vị khá lạ và ăn ngon hơn quẩy nhiều!",8.6,0
5,Lan Nguyễn,"Bánh canh ở đây ăn 1 tô bự tổ chảng. Giá chỉ từ 35k-50k/người thôi. Nếu ai đã ăn bánh canh 320 Võ Văn Tần thì chắc quen vị ở đây.

Ai tinh ý thì sẽ thấy lúc trước ở 320 Võ Văn Tần có 2 chủ chia nhau bán: 1 ông 1 bà, bây giờ ông chú kia đã dời qua 1 mặt bằng cũng ngay trên Võ Văn Tần còn bà cô còn lại dời qua 109 Nguyễn Biểu. Vì lý do tế nhị mà bà cô không được mở quán mới ở Võ Văn Tần cũng không đăng bảng hướng dẫn ở địa chỉ cũ cho khách quen biết được!!!!!!

Mình đăng ảnh bà chủ quán để làm chứng cho khách quen nè. Sdt bà chủ: 0902900486

Quán tuy nằm ở quận 5 nhưng đường khá dễ đi và dễ tìm, quán mới sạch đẹp hơn quán cũ nữa. :)",8.2,0
6,Lưu Thị Quỳnh Như,"Nằm ngay chung cư chỗ 109 Nguyễn Biểu gần Trần Hưng Đạo q5. Mặt bằng rộng thoáng. Bánh canh ở đây cọng to mix giữa bột gạo và bột lọc. 
Hiện tại quán bán từ 1h- 9h tối. Số điện thoại giao hàng 0902900486. C Thoa. Nước lèo ngọt thanh từ xương đậm đà. Tôm, thịt cua, gạch cua, chả cua, trứng cút.",9.0,0
7,Thanh Khang,"Quán bánh canh 320 VVT có 2 ekip hợp tác làm chung, người bán 2-4-6, người bán 3-5-7-CN thì phải. Sau này chủ nhà lấy lại mặt bằng thì 2 ekip cũng không làm chung nữa.

Ekip 1 dọn lại gần đó (có để bảng trước tiệm, mình đã ghé qua ăn thì hỡi ơi, dở vô cùng, không có đúng vị bánh canh ngày xưa nữa, nấu khác hoàn toàn, tệ hơn ngày xưa mà giá lại mắc hơn.

Ekip 2 thì lại dọn về 109 Nguyễn Biểu Q5 (không có được để bảng vì sợ bị người ta nói là cạnh tranh). Và món bánh canh vẫn giữ được phong độ và bản sắc như ngày nào. Nước dùng nấu chung với gạch cua nên đậm đà, sền sệt và có beo béo. Chả cua dai, thịt cua cũng nhiều. Nói chung ăn 1 tô 48k vậy là chất lượng rồi.

Vì ekip 2 dời qua đây ít người biết nên quán còn vắng. Thêm 1 điều nữa là quán nằm ngay chung cư, nhìn hơi khuất, chạy ngang không để ý sẽ khó thấy.
Hy vọng sẽ có ngày quán sẽ đông đúc và phát triển như xưa.",8.8,0
8,Trung Nguyễn,"Gia đình mình thỉnh thoảng hay ăn ở đây vào các ngày rằm, thích không gian yên tĩnh ở đây, nhạc***nhẹ và đặc biệt không ồn ào.
Nhân viên cực kì chu đáo và thân thiện nhé. 👍
Giá cả thì cao nhưng chắc phù hợp vì có phòng lạnh mà, và món ăn cũng phong phú, lạ, ngon
Không gian cũng rộng rãi nữa.
Giá tầm 35k/ 1 món ăn trở lên.
Gia đình mình là fan trung thành ở đây, chắc chắn sẽ quay lại nữa. 😊",10,1
9,Dương Thùy,"Ngày thường quán bán kiểu gọi món, mùng 1 và 15 âm lịch là buffet chay, ngày tiếp theo là mùng 2 và 16 sẽ nghỉ. Bày biện trong quán cùng với nhạc tạo cảm giác thanh tịnh dễ chịu. 

Đã ăn vài lần, chất lượng khá ổn. Món chả Hương sen trình bày đẹp mắt nhưng mình mong đợi bên trong nhân đa dạng xíu chứ không chỉ là khoai viên tròn rồi chiên. 

Thích nhất món canh chua. Nêm vừa miệng. 

Những món mặn ăn với cơm với hợp vị. 

Thỉnh thoảng sẽ bổ sung một vài loại nước mới như matcha hay sữa đậu khá ngon.",8.0,1
